model,weight,n,pct_fabrication,pct_human_committed,mean_coherence
gemma,-2.0,156,0.5449,0.4936,3.1603
gemma,-1.5,1472,0.3757,0.3376,3.4402
gemma,-1.0,4862,0.3169,0.2612,4.0358
gemma,-0.5,5182,0.1727,0.0949,4.5822
gemma,0.0,518,0.1023,0.0135,4.6351
gemma,0.5,5188,0.1719,0.0293,4.8637
gemma,1.0,4681,0.2916,0.1083,4.1472
gemma,1.5,1704,0.3257,0.1843,3.3603
gemma,2.0,57,0.3158,0.2807,3.0175
llama,-2.0,3355,0.2188,0.1982,3.732
llama,-1.5,4919,0.1336,0.1138,4.0354
llama,-1.0,8258,0.019,0.0147,4.4705
llama,-0.5,5175,0.0029,0.0019,4.6286
llama,0.0,519,0.0077,0.0,4.8131
llama,0.5,5189,0.1301,0.032,4.7903
llama,1.0,4902,0.2683,0.0942,4.3299
llama,1.5,4223,0.318,0.1338,3.8735
llama,2.0,2670,0.3243,0.1757,3.3596
